"Chemical, Pharmacological or Therapeutic subgroup
(ATC
classification)","International Non‐proprietary Name (active
ingredient)","Active ingredient name in Ukrainian language
(Cyrillic
alphabet)","Brand name in Ukraine Cyrillic alphabet","Brand name in Ukraine (Latin alphabet)","Manufacturer","Dosage form
in Ukrainian language (Cyrillic alphabet)","Dosage form (in English)","Information for patients in Ukrainian","Chemical, Pharmacological or Therapeutic subgroup (ATC
classification)","International Non‐ proprietary Name (active
ingredient)","Active ingredient name in Ukrainian language (Cyrillic
alphabet)","Brand name in Ukraine (Cyrillic alphabet)","Chemical, Pharmacological or Therapeutic
subgroup
(ATC classification)","Dosage form in Ukrainian
language (Cyrillic alphabet)","Informatio n for patients in Ukrainian","Dosage form in Ukrainian language (Cyrillic
alphabet)","...1","...2","...3","...4","...5","...6","‐ 0.06 мг/0,015 мг, (жовті таблетки);
‐ плацебо (зелені
таблетки);","‐ 0.06 mg / 0.015 mg (yellow tablets);
‐ placebo (green
pills);","...9","G03AA12","Drospirenone / Ethinylestradiol","Дроспіренон /
Естрадіол","ЛІБЕРАТТІ®","LIBERATTI®","Лабораторіос Леон Фарма, С.А., Іспанія","таблетки, по 3
мг/0,02 мг;","tablets, 3 mg / 0.02 mg;","https://compendium. com.ua/info/337142/
liberatti/","G03AA16","Dienogest / Ethinylestradiol","Дієногест /
Етинілестрадіол","СИЛУЕТ®","SILUETTE®","ВАТ ""Гедеон Ріхтер"", Угорщина","таблетки, по 2
мг/0,03 мг;","tablets, 2 mg / 0.03 mg;","https://compendium. com.ua/info/200618/
siluet‐sup‐sup‐/","G03AD01","Levonorgestrel","Левоноргестрел","ЛЕРГЕСАН","LERGESUN","Сан Фармасьютикал Індастріз Лтд., Індія","таблетки, по 0,75
мг; 1,5 мг;¤","tablets, 0.75 mg; 1.5 mg;","https://compendium. com.ua/info/452740/
lergesan/","Ukrainian alphabet","Latin alphabet","Position in a word","Examples...4","Examples...5"
,,,,"ARIPIPRAZOLE
TEDEC","Тедек‐Мейджі
Фарма, С.А.","‐ табл. по 5 мг; 10 мг;","‐ tablet. 5 mg, 10 mg","","N05AX12","Aripiprazole","Арипіпразол","АРИПІПРАЗОЛ ТЕДЕК",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ARITERO)","Гетеро Лабз
Лімітед, Індія","‐ табл. по 5 мг; 10 мг;","‐ tablet. 5 mg, 10 mg","","N05AX12","Aripiprazole","Арипіпразол","АРИТЕРО",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ARILENTAL","Актавіс Лтд.,
Мальта","‐ табл. по 15 мг; 10 мг;","‐ tablet. 15 mg, 10 mg","","N05AX12","Aripiprazole","Арипіпразол","АРІЛЕНТАЛ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ZYLAXERA®","КРКА, д.д., Ново
место, Словенія","‐ табл. по 5 мг; 10 мг; 15
мг, 30 мг;","‐ tablet. 5 mg; 10 mg, 15
mg, 30 mg;","","N05AX12","Aripiprazole","Арипіпразол","ЗИЛАКСЕРА®",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ZYKALOR","Медокемі ЛТД,
Кіпр","‐ табл. по 5 мг; 10 мг; 15
мг; 30 мг;","‐ tablet. 5 mg, 10 mg, 15
mg; 30 mg;","","N05AX12","Aripiprazole","Арипіпразол","ЗІКАЛОР",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"MINTEGRA","Ронтіс Хеллас Медікал енд Фармасьютікал Продактс С.А.,
Греція","‐ табл. по 15 мг; 10 мг; 30 мг;","‐ tablet. 15 mg; 10 mg; 30 mg","","N05AX12","Aripiprazole","Арипіпразол","МІНТЕГРА",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"FREYM","ПАТ ""Фармак"",
Україна","‐ табл. по 5 мг; 10 мг; 15
мг; 30 мг;","‐ tablet. 5 mg ; 10 mg , 15
mg; 3 0 mg","","N05AX12","Aripiprazole","Арипіпразол","ФРЕЙМ®",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"РIPZOL 5;
PIPZOL 10;
PIPZOL 15;
PIPZOL 30;","Алємбік Фармас'ютікелс Лімітед, Індія","‐ табл. по 5 мг; 10 мг; 15
мг; 30 мг;","‐ tablet. 5 mg; 10 mg; 15
mg; 30 mg;","","N05AX12","Aripiprazole","Арипіпразол","ПІПЗОЛ 5;
ПІПЗОЛ 10;
ПІПЗОЛ 15;
ПІПЗОЛ 30;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"INVEGA®","Янссен‐Сілаг С.п.А.,
Італія","‐ табл. по 3 мг; 6 мг; 9
мг;","‐ tablet. 3 mg, 6 mg , 9
mg;","https://compendium.co
m.ua/info/171119/","N05AX13","Paliperidone","Паліперидон","ІНВЕГА®",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"XEPLION®","Янссен Фармацевтика НВ, Бельгія","суспензія для ін'єкцій пролонгованої дії, 100 мг/мл по 0,5 мл,
або 0,75 мл, або 1,0 мл, або 1,5 мл у попередньо
наповненому шприці;","prolonged‐release suspension for injection, 100 mg / ml 0.5 ml,
or
0.75 ml, or 1.0 ml, or 1.5 ml in a pre‐filled syringe;","https://compendium.co m.ua/info/220335/","N05AX13","Paliperidone","Паліперидон","КСЕПЛІОН®",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"REAGILA®","ВАТ ""Гедеон Ріхтер"", Угорщина","‐ капсули по 1,5 мг; 3
мг; 4,5 мг; 6 мг;","‐ capsules of 1.5 mg; 3
mg; 4.5 mg; 6 mg.","https://compendium.co m.ua/info/355959/reagil
a/","N05AX15","Cariprazine","Карипразин","РЕАГІЛА",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Гідазепам",,"GIDAZEPAM ІС","ТДВ ""ІНТЕРХІМ"",
Україна","‐ табл. по 0,02 г; 0,05 г;","‐ tablet. 0.02 g each; 0.05 g;","https://compendium.co m.ua/info/167583/gidaz
epam‐ic‐sup‐sup‐/",,"Hydazepam",,"ГІДАЗЕПАМ ІС®","N05BA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Феназепаму",,"PHENAZEPAM ІС","ТДВ ""ІНТЕРХІМ"",
Україна","‐ табл. по 0,5 мг; 1 мг; 2,5 мг;","‐ tablet. 0.5 mg; 1 mg; 2.5 mg","https://compendium.co m.ua/info/167613/fenaz
epam‐sup‐sup‐ic/",,"Phenazepam",,"ФЕНАЗЕПАМ® ІС","N05BA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Діазепам",,"DIAZEPAM‐ZN","ТОВ ""Харківське фармацевтичне підприємство ""Здоров'я народу"",
Україна","‐ табл. по 5 мг;","‐ tablet. 5 mg;","https://mozdocs.kiev.ua
/likiview.php?id=45639",,"Diazepam",,"ДІАЗЕПАМ‐ЗН","N05BA01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Діазепам",,"DIАZEPAM","ТОВ ""Харківське фармацевтичне підприємство ""Здоров'я народу"",
Україна","‐ розчин для ін'єкцій, 5 мг/мл по 2 мл в ампулі,
‐ табл. по 5 мг;","‐ solution for injection, 5 mg / ml in 2 ml ampoules,
‐ tablet. 5 mg;","https://compendium.co m.ua/info/9343/92903/",,"Diazepam",,"СИБАЗОН","N05BA01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Діазепам",,"SIBAZON IC","ТДВ ""ІНТЕРХІМ"",
Україна","‐ табл. по 0,005 г; 0,01
г;","‐ tablet. 0.005 g each,
0.01 g","https://compendium.co m.ua/info/169984/sibaz
on‐sup‐sup‐ic/",,"Diazepam",,"СИБАЗОН® ІС","N05BA01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Лоразепам",,"LORAZEPAM‐ZN","ТОВ ""Харківське фармацевтичне підприємство ""Здоров'я народу"",
Україна","‐ розчин для ін`єкцій, 2 мг/мл по 1 мл в ампулі;
‐ табл. по 1 мг; 2,5 мг;","‐ solution for injections, 2 mg / ml on 1 ml in an ampoule,
‐ tablet. 1 mg; 2.5 mg","https://mozdocs.kiev.ua
/likiview.php?id=46472",,"Lorazepam",,"ЛОРАЗЕПАМ‐ЗН","N05BA06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Алпразолам",,"ALPRAZOLAM‐ZN","ТОВ «Харківське фармацевтичне підприємство
""Здоров’я народу""","‐ табл. по 0,25 мг; 0,5
мг;","‐ tablet. 0.25 mg each;
0.5 mg","https://mozdocs.kiev.ua
/likiview.php?id=42156",,"Alprazolam",,"АЛПРАЗОЛАМ‐ЗН","N05BA12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Гідроксизин",,"ATARAX®","ЮСБ Фарма С.А.,
Бельгія","‐ табл. по 25 мг;","‐ tablet. 25 mg each;","https://compendium.co
m.ua/info/_1875/",,"Hydroxyzine",,"АТАРАКС®","N05BB01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Гідроксизин",,"НYDROXYZINE‐ZN","ТОВ ""ФАРМЕКС
ГРУП"", Україна.","‐ табл. по 25 мг;","‐ tablet. 25 mg each;","https://mozdocs.kiev.ua
/likiview.php?id=42700",,"Hydroxyzine",,"ГІДРОКСИЗИН‐ЗН","N05BB01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Буспірон",,"BUSPIRON
SANDOZ®","Салютас Фарма
ГмбХ, Німеччина","‐ табл. по 5 мг; 10 мг;","‐ tablet. 5 mg; 10 mg;","https://mozdocs.kiev.ua
/likiview.php?id=48511",,"Buspirone",,"БУСПІРОН САНДОЗ®","N05BE01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Буспірон",,"SPITOMIN®","ЗАТ
Фармацевтичний завод ЕГІС,
Угорщина","‐ табл. по 10 мг; 5 мг;","‐ tablet. 10 mg; 5 mg;","https://compendium.co m.ua/info/166786/spito
min‐sup‐sup‐/",,"Buspirone",,"CПІТОМІН®","N05BE01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Мебікар",,"ADAPTOL","АТ ""Олайнфарм"",
Латвія","‐ табл. по 500 мг;
‐ капсули по 300 мг;","‐ tablet. 500 mg;
‐ capsules of 300 mg","https://compendium.co
m.ua/dec/267464/",,"Mebicar",,"АДАПТОЛ®","N05BX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Етифоксин",,"STRESAM®","Біокодекс, Франція","‐ капсули по 50 мг;","‐ 50 mg capsules","https://compendium.co
m.ua/dec/267468/",,"Etifoxine",,"СТРЕЗАМ®","N05BX03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Cухий екстракт трави звіробою (Hyperici herba) / сухий екстракт
кореневищ з коренями валеріани (Rhizoma cum
radicibus valerianae)",,"‐","Фарма Вернігероде ГмбХ, Німеччина","‐ капсули.","‐ capsules.","https://compendium.co m.ua/info/211074/seda
riston‐sup‐sup‐kapsuly/",,"Comb drug",,"СЕДАРИСТОН® КАПСУЛИ","N05C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Етиловий ефір α‐ бромізовалеріанової кислоти, ментол в ментиловому
ефірі кислоти ізовалеріанової (валідолу) /
фенобарбітал",,"BARBOVALUM®","ПАТ ""Фармак"",
Україна","‐ краплі оральні по 25 мл у флаконі;
‐ капсули;","‐ oral drops of 25 ml in a bottle.
‐ capsules.","https://compendium.co m.ua/info/336228/7291
/ https://compendium.co m.ua/info/4702/136879
‐154535/",,"Barbiturates in combination with other drugs",,"БАРБОВАЛ®","N05CB02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Фенобарбітал/ етиловий ефір альфа‐ бромізовалеріанової кислоти;",,"VALECARD‐ ZDOROVYE","ТОВ
""Фармацевтична компанія ""Здоров'я"",
Україна","‐ краплі оральні, розчин по 20 мл або 50 мл у флаконі;
‐ табл.","‐ oral drops, solution of 20 ml or 50 ml in a bottle,
‐ tablet.","https://compendium.co m.ua/info/173166/",,"Barbiturates in combination with other drugs",,"ВАЛЕКАРД‐ЗДОРОВ’Я","N05CB02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Фенобарбітал/ етилбромізовалеріан
ат",,"VALOCORDIN®","Кревель Мойзельбах ГмбХ,
Німеччина","краплі оральні, розчин по 20 мл, 50 мл у
флаконі‐;","oral drops, solution of 20 ml, 50 ml in a bottle","https://compendium.co m.ua/info/9822/valokor
din‐sup‐sup‐/",,"Barbiturates in combination with
other drugs",,"ВАЛОКОРДИН®","N05CB02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Фенобарбітал / етиловий ефір α‐ бромізовалеріанової
кислоти / олія м’яти",,"‐","ТДВ ""ІНТЕРХІМ"",
Україна","‐ табл.","‐ tablet.","https://compendium.co m.ua/info/255207/3636
48‐363649/",,"Barbiturates in combination with other drugs",,"КАРДІТАБ ІС","N05CB02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Етилового ефіру ‐ бромізовалеріанової кислоти / фенобарбіталу /
м’яти олії",,"CORVALAZID","ТОВ ""ДКП
""Фармацевтична фабрика"", Україна","‐ краплі оральні по 25 мл у флаконі;","‐ oral drops of 25 ml in a bottle;","https://compendium.co m.ua/info/326641/korv
alazid/",,"Barbiturates in combination with other drugs",,"КОРВАЛАЗИД","N05CB02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Етилового ефіру ‐ бромізовалеріанової кислоти / фенобарбіталу / м’яти
олії / олії
хмелю",,"CORVALDINUM®","ПАТ ""Фармак"",
Україна","‐ краплі оральні, по 25 мл або по 50 мл у флаконі;","‐ oral drops, 25 ml or 50 ml in a bottle;","https://compendium.co m.ua/info/3436/korvald
in‐sup‐sup‐/",,"Barbiturates in combination with other drugs",,"КОРВАЛДИН®","N05CB02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Етилового ефіру альфа‐ бромізовалеріанової кислоти /
фенобарбіталу",,"CORVALCAPS","АТ ""Київський вітамінний завод"", Україна","‐ капсули .","‐ capsules.","https://compendium.co m.ua/info/220092/1876
91‐267002/",,"Barbiturates in combination with other drugs",,"КОРВАЛКАПС","N05CB02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Етилового ефіру альфа‐ бромізовалеріанової кислоти /
фенобарбіталу",,"CORVALCAPS","АТ ""Київський вітамінний завод"", Україна","‐ капсули.","‐ capsules.","https://compendium.co m.ua/info/220092/1876
91‐267002/",,"Barbiturates in combination with other drugs",,"КОРВАЛКАПС","N05CB02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Етилового ефіру альфа‐ бромізовалеріанової кислоти / фенобарбіталу/,
олії
м’яти",,"‐","ПрАТ
""Фармацевтична фірма ""Дарниця"", Україна","‐ краплі оральні, розчин по 25 мл або по 40 мл у флаконі,","‐ oral drops, solution of 25 ml or 40 ml in a bottle,","https://compendium.co m.ua/info/251793/korv
alol‐darnitsa‐sup‐sup‐/",,"Barbiturates in combination with other drugs",,"КОРВАЛОЛ‐ДАРНИЦЯ®","N05CB02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Етилового ефіру альфа‐ бромізовалеріанової кислоти / фенобарбіталу/,
олії
м’яти",,"CORVALTAB","ТОВ ""Фарма Старт"", м.Київ, Україна","‐ табл.","‐ tablet.","",,"Barbiturates in combination with other drugs",,"KOPBAЛTAБ","N05CB02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"етилового ефіру альфа‐ бромізовалеріанової кислоти /
фенобарбіталу",,"‐","Товариство з обмеженою відповідальністю ""Фармацевтична компанія
""Здоров'я"",
Україна","‐ краплі оральні, розчин по 20 мл у флаконах № 1","‐ oral drops, solution of 20 ml in vials № 1","https://likicontrol.com.u a/%D0%B0%D0%BD%D0
%B0%D0%BB%D0%BE% D0%B3%D0%B8/?[2506 4]",,"Barbiturates in combination with other drugs",,"МЕНОВАЛЕН‐ЗДОРОВ’Я КОМБІ","N05CB02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Левана",,"LEVANA ІС","ТДВ ""ІНТЕРХІМ"",
Україна","‐ табл. по 0,5 мг; 1 мг; 2
мг;","‐ tablet. 0.5 mg; 1 mg; 2 mg","https://compendium.co m.ua/info/173462/levan
a‐sup‐sup‐ic/",,"Mono",,"ЛЕВАНА® ІС","N05CD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Нітразепам",,"RADEDORM® 5","Менаріні‐Фон Хейден ГмбХ/Нікомед Оранієнбург ГмбХ/АВД. фарма ГмбХ
& Co. KG,
Німеччина","‐ табл. по 5 мг;","‐ tablet. 5 mg;","https://mozdocs.kiev.ua
/likiview.php?id=22189",,"Nitrazepam",,"РАДЕДОРМ® 5","N05CD02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Мідазолам",,"MIDAZOLAM KALCEKS","ХБМ Фарма с.р.о., Словаччина/ АТ
""Гріндекс"", Латвія","‐ розчин для ін'єкцій, 5
мг/мл 3 мл в ампулі;","‐ solution for injection, 5 mg / ml 3 ml in an
ampoule","https://mozdocs.kiev.ua
/likiview.php?id=49906",,"Midazolam",,"МІДАЗОЛАМ КАЛЦЕКС","N05CD08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Мідазолам",,"MIDAZOLAM‐VISTA","ВЕМ Ілач Сан. ве Тік. А.С.","‐ розчин для ін'єкцій, 5
мг/мл по 3 мл; або по 10
мл;","‐ solution for injection, 5 mg / ml 3 ml; or 10 ml;","https://mozdocs.kiev.ua
/likiview.php?id=49904",,"Midazolam",,"МІДАЗОЛАМ‐ВІСТА","N05CD08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Зопіклон",,"ZOPICLONE)","ПАТ ""Лубнифарм"",
Україна","‐ табл. по 7,5 мг;","‐ tablet. 7.5 mg each;","https://compendium.co m.ua/info/166152/4259
5/",,"Zopiclone",,"ЗОПІКЛОН","N05CF01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Зопіклон",,"ZOPICLONE‐ZN","ТОВ ""Харківське фармацевтичне підприємство ""Здоров'я народу"",
Україна","‐ табл. по 7,5 мг;","‐ tablet. 7.5 mg each;","https://compendium.co m.ua/info/211247/zopik
lon‐zn/",,"Zopiclone",,"ЗОПІКЛОН‐ЗН","N05CF01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Зопіклон",,"IMOVANE®","Санофі Вінтроп
Індастріа, Франція","‐ табл. по 7,5 мг;","‐ tablet. 7.5 mg each;","",,"Zopiclone",,"ІМОВАН®","N05CF01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Зопіклон",,"NORMASON","ТОВ
""АСТРАФАРМ"",
Україна","‐ табл. по 7,5 мг","‐ tablet. 7.5 mg","",,"Zopiclone",,"НОРМАСОН®","N05CF01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Зопіклон",,"PIKLON","АТ ""Київський вітамінний завод"",
Україна","‐ табл. по 7,5 мг","‐ tablet. 7.5 mg","",,"Zopiclone",,"ПІКЛОН","N05CF01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Зопіклон",,"SOMNOL","АТ ""Гріндекс"",
Латвія","‐ табл. по 7,5 мг;","‐ tablet. 7.5 mg each;","",,"Zopiclone",,"СОМНОЛ®","N05CF01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Зопіклон",,"SONOVAN","Фармасайнс Інк.,
Канада","‐ табл. по 7,5 мг;","‐ tablet. 7.5 mg each;","",,"Zopiclone",,"СОНОВАН","N05CF01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Мелатонін;",,"VITA‐MELATONIN","АТ ""Київський вітамінний завод"",
Україна","‐ табл. по 3 мг;","‐ tablet. 3 mg each;","https://compendium.co m.ua/info/67093/vita‐
melatonin‐sup‐sup‐/",,"Melatonin",,"ВІТА‐МЕЛАТОНІН®","N05CH01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Екстрат пасифлори",,"ALORA","Нобел ілач санаї ве тіджарет А.Ш., Туреччина","сироп по 100 мл у флаконі.","syrup of 100 ml in a bottle.","https://compendium.co m.ua/result/?term=%D0
%90%D0%9B%D0%9E%
D0%A0%D0%90",,"Passiflora incarnatа",,"АЛОРА®","N05CM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Екстракт пасифлори трави (Passiflorae herba); липи квіток (Tiliae
flores); материнки трави (Origani herba); шавлії листя (Salviae
officinalis folia); меліси трави
(Melissae herba)",,"BELISA","ТОВ ""ДКП
""Фармацевтична фабрика"", м.Житомир, Україна","краплі оральні по 25 мл або 40 мл у флаконі;","oral drops of 25 ml or 40 ml in a vial","https://compendium.co m.ua/info/172169/belis
a/",,"Comb drug",,"БЕЛІСА","N05CM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Настойка валеріани кореневищ з коренями (Valerianae rhisoma cum
radicibus) / настойки конвалії трави (Convallariaе herba) / настойки
беладони листя (Belladonnae folia) / натрію
броміду / ментол",,"VALOCORMID","ТОВ ""ДКП
""Фармацевтична фабрика"", Україна","краплі оральні, по 25 мл у флаконах;","oral drops, 25 ml in vials;","https://compendium.co m.ua/info/49555/valoko
rmid/",,"Comb drug",,"ВАЛОКОРМІД","N05CM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Екстракту валеріани (коренів) (Valeriana officinalis L. / екстракту
листя меліси сухого
(Melissa officinalis L)",,"VAMELAN","П.П.Ф. ХАСКО‐ЛЕК
С.А., Польща","‐ капсули.","‐ capsules.","https://compendium.co m.ua/info/355921/6026
52/",,"Comb drug",,"ВАМЕЛАН","N05CM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Доксиламін",,"‐","Кревель Мойзельбах ГмбХ,
Німеччина","‐ краплі оральні, розчин, 25 мг/мл по 20 мл ; 50
мл у флаконі;","‐ oral drops, solution, 25 mg / ml of 20 ml; 50 ml in
a bottle","https://mozdocs.kiev.ua
/likiview.php?id=42917",,"Doxylamine",,"ДОКСИЛАМІН‐КРЕВЕЛЬ","N05CM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Доксиламін",,"‐","УПСА САС, Франція","‐ табл. по 15 мг;","‐ tablet. 15 mg;","https://compendium.co m.ua/info/12937/donor
mil/",,"Doxylamine",,"ДОНОРМІЛ","N05CM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Сухий екстракт кореня валеріани/ сухий екстракт листя
меліси",,"DORMIPLANT®","Др. Вільмар Швабе ГмбХ і Ко. КГ, Німеччина","‐ табл.","‐ tablet.","https://compendium.co m.ua/info/52512/dormi
plant/",,"Comb drug",,"ДОРМІПЛАНТ","N05CM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Екстракт із суміші листя, квітів і плодів глоду (Сrataegi folii /
екстракт трави собачої кропиви (Leonuri herbae) / екстракт листя меліси
(Melissae herbae) / екстракт кореня валеріани (Valerianae
radix)",,"CARVELIS","Др. Густав Кляйн ГмбХ & Ко. КГ, Німеччина","‐ краплі оральні, розчин по 30 мл, по 50 мл, по 100 мл у флаконі;","‐ oral drops, solution of 30 ml, 50 ml, 100 ml in a bottle,","https://compendium.co m.ua/info/220305/4438
90/",,"Comb drug",,"КАРВЕЛІС","N05CM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Кореневища з коренями валеріани (Valerianae) / плодів глоду (Crataegi
fructus) / трави пустирника (Herba
Leonuri) / трави",,"CARDIOSED","АТ ""Лубнифарм"",
Україна","‐краплі оральні; по 25 мл; 40 мл; 50 мл у флаконі;","‐ oral drops; 25 ml each; 40 ml; 50 ml in a bottle","https://compendium.co m.ua/info/358544/kardi
osed/",,"Comb drug",,"КАРДІОСЕД","N05CM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"меліси (Herba
Melissae)",,"","","","","",,"",,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Екстракт кореневища валеріани (Valeriana officinalis L.) /
екстракт листя меліси сухий (Melissa officinalis L.) / метанол /
екстракт трави пасифлори сухий (Passiflora

incarnata L.)",,"QUIET SEDATIVE","ПАТ ""Фармак"",
Україна","‐ розчин оральний по
100 мл у флаконі;
‐ таблетки.","‐ oral solution of 100 ml in a vial;
‐ tablets.","https://compendium.co m.ua/info/355152/kvajt
‐uspokoitel_nyj/",,"Comb drug",,"КВАЙТ® ЗАСПОКІЙЛИВИ Й","N05CM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Crataegi fructus (глоду плоди) / Lupuli strobili (хмелю шишки) /
Leonuri cardiacae herba (собачої кропиви трава) / Urticae folia (кропиви
листя) / Salviae officinalis folium (шавлії листя)/ Origani vulgaris
herba (материнки трава) / Belladonnae folia
(беладонни листя)",,"CLIMAPIN","ПАТ
""Хімфармзавод ""Червона зірка"",
/""Фармацевтична компанія ""Здоров'я"", Україна","‐ настойка по 100 мл у флаконі;","‐ tincture of 100 ml in a bottle","https://mozdocs.kiev.ua
/likiview.php?id=46197",,"Comb drug",,"КЛІМАПІН®","N05CM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Валеріани сухого екстракту / м’яти перцевої екстракту сухого /
меліси

екстракту сухого",,"RELAXIL","АТ ""Київський вітамінний завод"", Україна","‐ капсули.","‐ capsules.","https://compendium.co m.ua/info/170200/relak
sil/",,"Comb drug",,"РЕЛАКСИЛ","N05CM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
